client_email;product_id;product_name
user1@mail.ru;1;Product1
user1@mail.ru;2;Product2
user2@google.com;2;Product2
user3@rambler.com;3;Product3
user4@yandex.ru;1;Product1
user4@yandex.ru;3;Product3
user4@yandex.ru;5;Product5
user5@yandex.ru;1;Product1
user5@yandex.ru;2;Product2
user5@yandex.ru;5;Product5
user5@yandex.ru;10;Product10
user7@mail.ru;7;Product7
user7@mail.ru;14;Product14
user6@mail.inbox;8;Product8
user5@yandex.ru;9;Product9
user7@mail.ru;11;Product11
user3@mail.ru;11;Product11
user6@mail.inbox;12;Product12
user10@yandex.ru;13;Product13
user5@yandex.ru;14;Product14
user8@mail.ru;15;Product15
user6@mail.inbox;17;Product17
user8@mail.ru;17;Product17
user9@mail.ru;18;Product18
user6@mail.inbox;19;Product19
